Table A.2
Molecular Features

   H_{2} 1-0

4712.9   S1

      CN 0-2

4170.616 R85
4172.888 R18
4173.090 R84
4175.197 R19
4175.486 R83
4177.438 R20
4177.806 R82
4179.611 R21
4180.050 R81
4181.716 R22
4182.216 R80
4183.752 R23
4184.307 R79
4185.719 R24
4186.321 R78
4187.618 R25
4188.259 R77
4189.447 R26
4190.121 R76
4191.208 R27
4191.908 R75
4192.899 R28
4193.618 R74
4194.521 R29
4195.254 R73
4196.074 R30
4196.814 R72
4197.557 R31
4198.298 R71
4198.971 R32
4199.708 R70
4200.314 R33
4201.042 R69
4201.588 R34
4202.302 R68
4202.791 R35
4203.487 R67
4203.925 R36
4204.598 R66
4204.987 R37
4205.634 R65
4205.980 R38
4206.596 R64
4206.902 R39
4207.484 R63
4207.752 R40
4208.297 R62
4208.532 R41
4209.037 R61
4209.242 R42
4209.703 R60
4209.879 R43
4210.296 R59
4210.446 R44
4210.815 R58
4210.941 R45
4211.261 R57
4211.364 R46
4211.634 R56
4211.716 R47
4211.933 R55
4211.996 R48
4212.160 R54
4212.204 R49
4212.314 R53
4212.340 R50
4212.395 R52
4212.404 R51

  ^{13}C^{16}O 4-2

4150.002 R34
4150.818 R67
4151.173 R35
4151.961 R66
4152.273 R36
4153.031 R65
4153.304 R37
4154.026 R64
4154.263 R38
4154.946 R63
4155.152 R39
4155.793 R62
4155.971 R40
4156.566 R61
4156.718 R41
4157.265 R60
4157.394 R42
4157.891 R59
4157.999 R43
4158.443 R58
4158.533 R44
4158.922 R57
4158.996 R45
4159.327 R56
4159.386 R46
4159.660 R55
4159.705 R47
4159.919 R54
4159.953 R48
4160.106 R53
4160.128 R49
4160.220 R52
4160.231 R50
4160.262 R51

  ^{12}C^{17}O 2-0

4252.113 R13
4254.836 R14
4257.489 R15
4260.073 R16
4262.587 R17
4265.031 R18
4267.405 R19
4269.709 R20
4271.942 R21
4274.105 R22
4276.198 R23
4278.220 R24
4280.171 R25
4282.051 R26
4283.860 R27
4285.598 R28
4287.264 R29
4288.859 R30
4290.382 R31
4291.834 R32
4293.213 R33
4294.520 R34
4295.755 R35
4296.918 R36
4298.008 R37
4299.026 R38
4299.971 R39

   HF 1-0

4173.979 R5
4203.296 R6
4230.756 R7
4256.322 R8
4279.966 R9
4301.637 R10
4321.321 R11
4338.985 R12
4354.604 R13
4368.152 R14
4379.609 R15
4388.94  R16
4396.16  R17
4401.25  R18 
4403.50  R21
4404.15  R19
4404.91  R20
